home_team,away_team,home_goals,away_goals,home_SOT_all,away_SOT_all,home_shots,away_shots,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_total_cards,away_total_cards,home_fouls,away_fouls
Spain,England,2,1,6,4,16,9,1,3,0,0,1,3,11,5
Netherlands,England,1,2,2,5,7,9,3,3,0,0,3,3,11,6
Spain,France,2,1,2,3,6,9,2,2,0,0,2,2,9,14
Netherlands,Türkiye,2,1,4,4,11,15,4,1,0,1,4,2,16,7
England,Switzerland,1,1,3,3,13,11,1,2,0,0,1,2,8,13
Portugal,France,0,0,4,5,15,20,1,1,0,0,1,1,8,13
Spain,Germany,2,1,6,5,18,23,7,8,1,0,8,8,17,22
Austria,Türkiye,1,2,5,3,21,6,2,2,0,0,2,2,12,5
Romania,Netherlands,0,3,1,6,5,23,2,2,0,0,2,2,8,9
Portugal,Slovenia,0,0,6,2,20,10,1,5,0,0,1,5,8,17
France,Belgium,1,0,2,2,19,5,3,2,0,0,3,2,7,10
Spain,Georgia,4,1,13,0,35,4,1,1,0,0,1,1,11,5
England,Slovakia,2,1,2,3,16,13,3,6,0,0,3,6,12,19
Germany,Denmark,2,0,9,2,15,11,0,2,0,0,0,2,7,15
Switzerland,Italy,2,0,4,1,16,11,0,3,0,0,0,3,9,15
Georgia,Portugal,2,0,3,5,7,22,1,3,0,0,1,3,6,11
Czechia,Türkiye,1,2,7,5,12,18,7,11,2,0,9,11,16,9
Ukraine,Belgium,0,0,4,4,13,12,1,1,0,0,1,1,9,8
Slovakia,Romania,1,1,4,5,13,9,1,3,0,0,1,3,11,10
England,Slovenia,0,0,4,1,12,4,3,2,0,0,3,2,11,9
Denmark,Serbia,0,0,3,1,10,5,2,2,0,0,2,2,11,5
France,Poland,1,1,8,3,19,10,1,3,0,0,1,3,12,15
Netherlands,Austria,2,3,2,5,11,9,0,3,0,0,0,3,10,16
Croatia,Italy,1,1,4,3,6,12,6,2,0,0,6,2,18,6
Albania,Spain,0,1,4,3,10,16,2,1,0,0,2,1,6,15
Switzerland,Germany,1,1,3,3,4,18,3,1,0,0,3,1,14,12
Scotland,Hungary,0,1,0,5,4,14,1,5,0,0,1,5,16,13
Belgium,Romania,2,0,9,5,20,14,1,2,0,0,1,2,9,11
Türkiye,Portugal,0,3,3,3,11,12,3,2,0,0,3,2,16,8
Georgia,Czechia,1,1,1,12,5,27,4,5,0,0,4,5,12,17
Netherlands,France,0,0,4,3,8,15,1,0,0,0,1,0,13,8
Poland,Austria,1,3,3,9,15,15,4,2,0,0,4,2,15,15
Slovakia,Ukraine,1,2,5,5,14,13,0,1,0,0,0,1,9,12
Spain,Italy,1,0,9,1,20,4,3,2,0,0,3,2,17,14
Denmark,England,1,1,7,4,16,12,3,1,0,0,3,1,13,5
Slovenia,Serbia,1,1,4,4,11,15,2,4,0,0,2,4,13,8
Scotland,Switzerland,1,1,3,4,12,11,3,2,0,0,3,2,11,11
Germany,Hungary,2,0,7,4,19,11,2,2,0,0,2,2,12,10
Croatia,Albania,2,2,10,7,22,15,1,3,0,0,1,3,15,11
Portugal,Czechia,2,1,8,1,19,5,2,1,0,0,2,1,6,9
Türkiye,Georgia,3,1,8,5,22,14,2,1,0,0,2,1,10,7
Austria,France,0,1,3,3,6,14,5,2,0,0,5,2,18,11
Belgium,Slovakia,0,1,5,4,16,10,3,1,0,0,3,1,14,10
Romania,Ukraine,3,0,5,2,9,13,1,1,0,0,1,1,9,8
Serbia,England,0,1,1,3,6,5,2,0,0,0,2,0,19,8
Slovenia,Denmark,1,1,2,4,11,16,2,1,0,0,2,1,12,9
Poland,Netherlands,1,2,7,4,12,21,0,1,0,0,0,1,10,8
Italy,Albania,2,1,5,1,17,8,2,2,0,0,2,2,7,7
Spain,Croatia,3,0,5,5,11,16,1,0,0,0,1,0,14,13
Hungary,Switzerland,1,3,2,7,6,15,2,2,0,0,2,2,9,13
Germany,Scotland,5,1,10,0,20,1,2,1,0,1,2,2,15,9
